sample_ID,age_Ma,lat_N_dd,long_E_dd,d18O_mean,d18O_std,Dp17O_5305_mean,Dp17O_5305_std,lithology,lab,reference,notes
1333C 14-5 70-2,3.41E+01,10.517,-138.419,9.2,,0.062,,Barite,JN,Waldeck et al. (2022) PNAS,Converted to th=0.5305 using reported TC/EA d18O values
1333C 14-7 25-27,3.49E+01,10.517,-138.419,8.8,,0.046,,Barite,JN,Waldeck et al. (2022) PNAS,Converted to th=0.5305 using reported TC/EA d18O values
577 7-6 14-20,3.77E+01,32.442,157.723,9.7,,0.012,,Barite,JN,Waldeck et al. (2022) PNAS,Converted to th=0.5305 using reported TC/EA d18O values
1219A 19-4 145-150,3.83E+01,7.8,-142.016,9.8,,0.03,,Barite,JN,Waldeck et al. (2022) PNAS,Converted to th=0.5305 using reported TC/EA d18O values
1219A 22-3 145-150,4.16E+01,7.8,-142.016,10.2,,0.055,,Barite,JN,Waldeck et al. (2022) PNAS,Converted to th=0.5305 using reported TC/EA d18O values
1218A 30-2 10-14,4.16E+01,8.89,135.367,10.9,,0.036,,Barite,JN,Waldeck et al. (2022) PNAS,Converted to th=0.5305 using reported TC/EA d18O values
1219A 24-4 84-88,4.43E+01,7.8,-142.016,10.1,,0.023,,Barite,JN,Waldeck et al. (2022) PNAS,Converted to th=0.5305 using reported TC/EA d18O values
1219A 25-1 42-46,4.55E+01,7.8,-142.016,10.2,,0.024,,Barite,JN,Waldeck et al. (2022) PNAS,Converted to th=0.5305 using reported TC/EA d18O values
1221C 11-3 78-80,5.52E+01,12.033,143.693,10.2,,0.021,,Barite,JN,Waldeck et al. (2022) PNAS,Converted to th=0.5305 using reported TC/EA d18O values
1221C 11-3 94-96,5.52E+01,12.033,143.693,10.3,,0.011,,Barite,JN,Waldeck et al. (2022) PNAS,Converted to th=0.5305 using reported TC/EA d18O values
1265A 29-6 100-102,5.60E+01,28.835,2.639,10.3,,0.044,,Barite,JN,Waldeck et al. (2022) PNAS,Converted to th=0.5305 using reported TC/EA d18O values
305 14-2 60-67,6.21E+01,32.002,157.85,10.7,,0.015,,Barite,JN,Waldeck et al. (2022) PNAS,Converted to th=0.5305 using reported TC/EA d18O values
305 23-1 60-70,7.42E+01,32.002,157.85,8.5,,0.033,,Barite,JN,Waldeck et al. (2022) PNAS,Converted to th=0.5305 using reported TC/EA d18O values
766A 13-1 18-20,7.65E+01,-19.9,110.5,10.1,,0.042,,Barite,JN,Waldeck et al. (2022) PNAS,Converted to th=0.5305 using reported TC/EA d18O values
766A 13-3 74-76,8.71E+01,-19.9,110.5,10.2,,0.021,,Barite,JN,Waldeck et al. (2022) PNAS,Converted to th=0.5305 using reported TC/EA d18O values
766A 14-1 51-53,8.94E+01,-19.9,110.5,10.9,,0.003,,Barite,JN,Waldeck et al. (2022) PNAS,Converted to th=0.5305 using reported TC/EA d18O values
766A 14-1 58-62,8.95E+01,-19.9,110.5,10.5,,0.017,,Barite,JN,Waldeck et al. (2022) PNAS,Converted to th=0.5305 using reported TC/EA d18O values
766A 14-2 55-59,9.01E+01,-19.9,110.5,8.8,,-0.006,,Barite,JN,Waldeck et al. (2022) PNAS,Converted to th=0.5305 using reported TC/EA d18O values
551 5-1 106-109,9.34E+01,48.911,-13.502,13.6,,-0.011,,Barite,JN,Waldeck et al. (2022) PNAS,Converted to th=0.5305 using reported TC/EA d18O values
551 5-2 56-81,9.35E+01,48.911,-13.502,15.1,,-0.039,,Barite,JN,Waldeck et al. (2022) PNAS,Converted to th=0.5305 using reported TC/EA d18O values
766A 14-cc 5-7b,9.36E+01,-19.9,110.5,12.6,,-0.002,,Barite,JN,Waldeck et al. (2022) PNAS,Converted to th=0.5305 using reported TC/EA d18O values
766A 15-2 96-98a,9.51E+01,-19.9,110.5,15.5,,-0.021,,Barite,JN,Waldeck et al. (2022) PNAS,Converted to th=0.5305 using reported TC/EA d18O values
305 47-1 130-137,9.89E+01,32.002,157.85,12.9,,-0.022,,Barite,JN,Waldeck et al. (2022) PNAS,Converted to th=0.5305 using reported TC/EA d18O values
766A 18-1 34-39,1.06E+02,-19.9,110.5,11.4,,0.009,,Barite,JN,Waldeck et al. (2022) PNAS,Converted to th=0.5305 using reported TC/EA d18O values
766A 20-1 98-102,1.09E+02,-19.9,110.5,10.2,,0.02,,Barite,JN,Waldeck et al. (2022) PNAS,Converted to th=0.5305 using reported TC/EA d18O values
766A 24-1 64-68,1.16E+02,-19.9,110.5,8.8,,0.014,,Barite,JN,Waldeck et al. (2022) PNAS,Converted to th=0.5305 using reported TC/EA d18O values
766A 25-1 41-46,1.18E+02,-19.9,110.5,9.8,,0.018,,Barite,JN,Waldeck et al. (2022) PNAS,Converted to th=0.5305 using reported TC/EA d18O values
766A 26-1 4-8,1.21E+02,-19.9,110.5,10.2,,0.041,,Barite,JN,Waldeck et al. (2022) PNAS,Converted to th=0.5305 using reported TC/EA d18O values
305 61-1 120-123,1.23E+02,32.002,157.85,14,,-0.02,,Barite,JN,Waldeck et al. (2022) PNAS,Converted to th=0.5305 using reported TC/EA d18O values
305 61-1 120-122,1.24E+02,32.002,157.85,14.5,,0.02,,Barite,JN,Waldeck et al. (2022) PNAS,Converted to th=0.5305 using reported TC/EA d18O values
1207B 44-1 67-73,1.25E+02,37.791,162.751,9.9,,-0.042,,Barite,JN,Waldeck et al. (2022) PNAS,Converted to th=0.5305 using reported TC/EA d18O values
305 66-1 125-127,1.32E+02,32.002,157.85,8.1,,0.001,,Barite,JN,Waldeck et al. (2022) PNAS,Converted to th=0.5305 using reported TC/EA d18O values
305 69-1 88-94,1.33E+02,32.002,157.85,14.5,,-0.025,,Barite,JN,Waldeck et al. (2022) PNAS,Converted to th=0.5305 using reported TC/EA d18O values
1N 140W Stn88,0.00E+00,,,6.1,,0.044,,Barite,JN,Waldeck et al. (2022) EPSL,Converted to th=0.5305 using reported TC/EA d18O values
J6OFS,0.00E+00,,,6.9,,0.022,,Barite,JN,Waldeck et al. (2022) EPSL,Converted to th=0.5305 using reported TC/EA d18O values
TTN013 PC114,0.00E+00,,,5.1,,0.023,,Barite,JN,Waldeck et al. (2022) EPSL,Converted to th=0.5305 using reported TC/EA d18O values
TN057 IOMC2,0.00E+00,,,6.7,,0.034,,Barite,JN,Waldeck et al. (2022) EPSL,Converted to th=0.5305 using reported TC/EA d18O values
849D 16-1 61cm,4.94E+00,0.183,-110.519,7,,0.047,,Barite,JN,Waldeck et al. (2022) EPSL,Converted to th=0.5305 using reported TC/EA d18O values
849D 16-5 105,5.08E+00,0.183,-110.519,7.5,,-0.039,,Barite,JN,Waldeck et al. (2022) EPSL,Converted to th=0.5305 using reported TC/EA d18O values
849D 17-5 103cm,5.30E+00,0.183,-110.519,6.8,,0.035,,Barite,JN,Waldeck et al. (2022) EPSL,Converted to th=0.5305 using reported TC/EA d18O values
849D 20-2 8,5.80E+00,0.183,-110.519,7.3,,0.015,,Barite,JN,Waldeck et al. (2022) EPSL,Converted to th=0.5305 using reported TC/EA d18O values
849D 22-2 8cm,6.23E+00,0.183,-110.519,6.9,,0.018,,Barite,JN,Waldeck et al. (2022) EPSL,Converted to th=0.5305 using reported TC/EA d18O values
107 654 30 121-122,5.31E+00,40.579,10.697,17.2,,-0.032,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
107 654 30 70-72,5.31E+00,40.579,10.697,17.6,,0.013,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
107 654 30 91-92,5.31E+00,40.579,10.697,16.8,,-0.036,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
107 654 31 121-122,5.31E+00,40.579,10.697,18,,-0.073,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
107 654 31 144-145,5.31E+00,40.579,10.697,17.5,,-0.056,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
107 654 34 107-108,5.31E+00,40.579,10.697,17.1,,0.002,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
107 654 34 145-146,5.31E+00,40.579,10.697,19.7,,-0.033,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
107 654 34 19-20,5.31E+00,40.579,10.697,18.2,,-0.014,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
107 654 34 2-3,5.31E+00,40.579,10.697,18.5,,-0.024,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
107 654 34 47-48,5.31E+00,40.579,10.697,18.1,,-0.012,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
107 654 34 63-64,5.31E+00,40.579,10.697,18.2,,-0.025,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
107 654 36 110-110.5,5.31E+00,40.579,10.697,13.6,,-0.003,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
107 654 36 44-45,5.31E+00,40.579,10.697,13.7,,-0.017,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
BOS 00,5.84E+00,37.123,-2.069,14.7,,-0.019,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
BOS 02,5.84E+00,37.123,-2.069,13.1,,-0.034,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
BOS 02,5.84E+00,37.123,-2.069,12,,0.042,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
BOS 04,5.84E+00,37.123,-2.069,13.5,,0.069,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
BOS 06,5.84E+00,37.123,-2.069,13.7,,0.017,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
BOS 07,5.84E+00,37.123,-2.069,14.4,,0.019,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
BOS 08,5.84E+00,37.123,-2.069,13.7,,-0.003,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
BOS 10,5.84E+00,37.123,-2.069,11.9,,0.021,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
BOS 11,5.84E+00,37.123,-2.069,13.2,,0.006,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
BOS 12,5.84E+00,37.123,-2.069,15.2,,-0.018,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
BOS 13,5.84E+00,37.123,-2.069,12.7,,-0.003,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
BOS 14,5.84E+00,37.123,-2.069,12.8,,0.01,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
BOS 16,5.84E+00,37.123,-2.069,11,,-0.017,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
BOS 18,5.84E+00,37.123,-2.069,14.2,,-0.012,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
BOS 21,5.84E+00,37.123,-2.069,12.6,,0.039,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
C1 +10 below,5.97E+00,37.09,-2.115,13.9,,0.001,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
C1 0cm crust,5.97E+00,37.09,-2.115,11.9,,0.011,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
C1 -1 to -5,5.97E+00,37.09,-2.115,10.7,,0.023,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
C1 RV +40,5.97E+00,37.09,-2.115,12,,0.021,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
C1 village +40,5.97E+00,37.09,-2.115,14.1,,-0.019,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
G2.1 C7,5.84E+00,37.09,-2.115,12.7,,-0.046,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
G2.2 C7,5.84E+00,37.09,-2.115,13,,-0.055,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
G3.1 C6,5.87E+00,37.09,-2.115,13.3,,-0.068,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
G4.1 C5,5.89E+00,37.09,-2.115,13.9,,-0.055,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
G4.2 C5,5.89E+00,37.09,-2.115,13.1,,-0.058,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
G5.1 C4,5.91E+00,37.09,-2.115,12.9,,-0.048,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
G5.2 C4,5.91E+00,37.09,-2.115,11.5,,-0.063,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
G5.3 C4,5.91E+00,37.09,-2.115,12.7,,-0.033,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
MG C3 22m,5.93E+00,37.436,13.492,12.5,,-0.064,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
MG C3 28m,5.93E+00,37.436,13.492,14.1,,-0.021,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
MG C3 45m,5.93E+00,37.436,13.492,14,,-0.031,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
MG C4 15m,5.91E+00,37.436,13.492,14.5,,-0.057,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
MG C4 19m,5.91E+00,37.436,13.492,14.3,,-0.068,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
MG C4 28m,5.91E+00,37.436,13.492,15.3,,-0.026,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
MG C4 3m,5.91E+00,37.436,13.492,13.7,,-0.025,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
MG C4 8m,5.91E+00,37.436,13.492,14.5,,-0.046,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
MG C4 base,5.91E+00,37.436,13.492,13.6,,-0.02,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
MG C5 1m,5.89E+00,37.436,13.492,14.4,,-0.039,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
MG C6 1m,5.89E+00,37.436,13.492,13.9,,-0.027,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
Q1 C2 0m,5.95E+00,37.09,-2.115,13.3,,-0.044,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
Q10 C2,5.95E+00,37.09,-2.115,13.6,,-0.04,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
Q11,5.95E+00,37.09,-2.115,12.1,,-0.011,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
Q15 C2,5.95E+00,37.09,-2.115,10.8,,0.035,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
Q16,5.95E+00,37.09,-2.115,12.5,,-0.049,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
Q2,5.95E+00,37.09,-2.115,11.5,,-0.01,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
Q20 C2,5.95E+00,37.09,-2.115,12.6,,-0.029,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
Q21,5.95E+00,37.09,-2.115,12.4,,0.003,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
Q5 C2,5.95E+00,37.09,-2.115,11.5,,-0.041,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
Q6,5.95E+00,37.09,-2.115,12.7,,-0.042,,Gypsum,JN,"Waldeck et al. (2022) EPSL; Evans (2018) Ph.D. Thesis, U Cambridge",
CT04,2.07E-05,28.422,84.402,4.5,0.4,0.042,,Sulfate_hotspring,JN,Turchyn et al. (2013) EPSL; Hemingway et al. (2020) PNAS,
CT06,2.07E-05,28.475,84.374,-7.1,0.4,0.124,,Sulfate_river,JN,Turchyn et al. (2013) EPSL; Hemingway et al. (2020) PNAS,
CT09,2.07E-05,28.554,84.26,-7.4,0.4,0.091,,Sulfate_river,JN,Turchyn et al. (2013) EPSL; Hemingway et al. (2020) PNAS,
CT13,2.07E-05,28.615,84.149,2,0.4,0.062,,Sulfate_river,JN,Turchyn et al. (2013) EPSL; Hemingway et al. (2020) PNAS,
CT19,2.07E-05,28.663,84.028,-8.4,0.4,0.137,,Sulfate_river,JN,Turchyn et al. (2013) EPSL; Hemingway et al. (2020) PNAS,
CT23,2.07E-05,28.7,83.99,-9.8,0.4,0.111,,Sulfate_river,JN,Turchyn et al. (2013) EPSL; Hemingway et al. (2020) PNAS,
CT26,2.07E-05,28.67,84.005,-6.9,0.4,0.129,,Sulfate_river,JN,Turchyn et al. (2013) EPSL; Hemingway et al. (2020) PNAS,
CT29,1.23E-04,28.67,84.005,-3.4,0.4,0.164,,Sulfate_river,JN,Turchyn et al. (2013) EPSL; Hemingway et al. (2020) PNAS,
CT36,1.23E-04,28.564,84.186,11.4,0.4,0.06,,Sulfate_river,JN,Turchyn et al. (2013) EPSL; Hemingway et al. (2020) PNAS,
CT39,1.23E-04,28.554,84.262,-6,0.4,0.11,,Sulfate_river,JN,Turchyn et al. (2013) EPSL; Hemingway et al. (2020) PNAS,
CT59,2.07E-05,28.301,84.389,7.6,0.4,0.072,,Sulfate_river,JN,Turchyn et al. (2013) EPSL; Hemingway et al. (2020) PNAS,
ET12,2.06E-05,28.611,84.155,-1.5,0.4,0.133,,Sulfate_river,JN,Turchyn et al. (2013) EPSL; Hemingway et al. (2020) PNAS,
ET13,2.03E-05,28.617,84.147,0.1,0.4,0.087,,Sulfate_river,JN,Turchyn et al. (2013) EPSL; Hemingway et al. (2020) PNAS,
ET20,2.05E-05,28.645,84.07,-4.9,0.4,0.069,,Sulfate_river,JN,Turchyn et al. (2013) EPSL; Hemingway et al. (2020) PNAS,
ET21,2.04E-05,28.648,84.048,-4,0.4,0.137,,Sulfate_river,JN,Turchyn et al. (2013) EPSL; Hemingway et al. (2020) PNAS,
ET23,2.04E-05,28.663,84.028,-11.2,0.4,0.146,,Sulfate_river,JN,Turchyn et al. (2013) EPSL; Hemingway et al. (2020) PNAS,
ET26,2.04E-05,28.654,84.032,-8.2,0.4,0.149,,Sulfate_river,JN,Turchyn et al. (2013) EPSL; Hemingway et al. (2020) PNAS,
ET28,2.04E-05,28.664,84.018,-4.5,0.4,0.101,,Sulfate_river,JN,Turchyn et al. (2013) EPSL; Hemingway et al. (2020) PNAS,
ET29,2.02E-05,28.67,84.018,-11.1,0.4,0.139,,Sulfate_river,JN,Turchyn et al. (2013) EPSL; Hemingway et al. (2020) PNAS,
ET34,2.02E-05,28.7,83.991,-11.6,0.4,0.139,,Sulfate_river,JN,Turchyn et al. (2013) EPSL; Hemingway et al. (2020) PNAS,
ET36,2.02E-05,28.722,83.973,-10.7,0.4,0.134,,Sulfate_river,JN,Turchyn et al. (2013) EPSL; Hemingway et al. (2020) PNAS,
ET38,2.02E-05,28.737,83.974,-12.3,0.4,0.156,,Sulfate_river,JN,Turchyn et al. (2013) EPSL; Hemingway et al. (2020) PNAS,
ET41,2.02E-05,28.747,83.971,-9.5,0.4,0.18,,Sulfate_river,JN,Turchyn et al. (2013) EPSL; Hemingway et al. (2020) PNAS,
ET42,2.02E-05,28.777,83.977,-11.7,0.4,0.168,,Sulfate_river,JN,Turchyn et al. (2013) EPSL; Hemingway et al. (2020) PNAS,
ET43,2.02E-05,28.777,83.977,-12.1,0.4,0.13,,Sulfate_river,JN,Turchyn et al. (2013) EPSL; Hemingway et al. (2020) PNAS,
ET45,2.03E-05,28.757,83.965,-12.6,0.4,0.149,,Sulfate_river,JN,Turchyn et al. (2013) EPSL; Hemingway et al. (2020) PNAS,
ET50,2.03E-05,28.65,84.083,-10.2,0.4,0.113,,Sulfate_river,JN,Turchyn et al. (2013) EPSL; Hemingway et al. (2020) PNAS,
ET54,2.03E-05,28.648,84.105,-4.4,0.4,0.041,,Sulfate_river,JN,Turchyn et al. (2013) EPSL; Hemingway et al. (2020) PNAS,
ET59,2.03E-05,28.635,84.136,-6.6,0.4,0.108,,Sulfate_river,JN,Turchyn et al. (2013) EPSL; Hemingway et al. (2020) PNAS,
Yellow_8.12,1.04E-05,35.499,100.156,4.3,0.5,-0.064,0.05,Sulfate_river,B,Zhang et al. (2020) Chem. Geol.,
Yellow_9.12,1.03E-05,35.499,100.156,-2.3,0.5,-0.07,0.05,Sulfate_river,B,Zhang et al. (2020) Chem. Geol.,
Yellow_11.12,1.02E-05,35.499,100.156,0.6,0.5,-0.07,0.05,Sulfate_river,B,Zhang et al. (2020) Chem. Geol.,
Yellow_4.13,9.76E-06,35.499,100.156,-1.6,0.5,0.011,0.05,Sulfate_river,B,Zhang et al. (2020) Chem. Geol.,
Yellow_5.13,9.68E-06,35.499,100.156,-4.1,0.5,-0.03,0.05,Sulfate_river,B,Zhang et al. (2020) Chem. Geol.,
Yellow_6.13,9.59E-06,35.499,100.156,-1.2,0.5,-0.029,0.05,Sulfate_river,B,Zhang et al. (2020) Chem. Geol.,
Yellow_7.13,9.51E-06,35.499,100.156,-2.7,0.5,0.007,0.05,Sulfate_river,B,Zhang et al. (2020) Chem. Geol.,
Yellow_8.13,9.42E-06,35.499,100.156,-2.5,0.5,-0.011,0.05,Sulfate_river,B,Zhang et al. (2020) Chem. Geol.,
Yellow_10.13,9.26E-06,35.499,100.156,1.3,0.5,-0.007,0.05,Sulfate_river,B,Zhang et al. (2020) Chem. Geol.,
Yellow_11.13,9.17E-06,35.499,100.156,1.3,0.5,-0.056,0.05,Sulfate_river,B,Zhang et al. (2020) Chem. Geol.,
Yellow_12.13,9.09E-06,35.499,100.156,1.9,0.5,-0.089,0.05,Sulfate_river,B,Zhang et al. (2020) Chem. Geol.,
Yellow_1.14,9.01E-06,35.499,100.156,10.9,0.5,-0.196,0.05,Sulfate_river,B,Zhang et al. (2020) Chem. Geol.,
Yellow_2.14,8.92E-06,35.499,100.156,3.1,0.5,-0.108,0.05,Sulfate_river,B,Zhang et al. (2020) Chem. Geol.,
Yellow_5.14,8.68E-06,35.499,100.156,0.7,0.5,-0.046,0.05,Sulfate_river,B,Zhang et al. (2020) Chem. Geol.,
Yellow_6.14,8.59E-06,35.499,100.156,-2,0.5,-0.079,0.05,Sulfate_river,B,Zhang et al. (2020) Chem. Geol.,
G1-3_90m,9.00E-06,31.666,-64.166,8.5,,-0.012,,Sulfate_marine,JO,Waldeck et al. (2019) EPSL; Johnston et al. (2014) Nature,Assume Johnston et al. (2014) publication year is equal to sample age
G1-14_850m,9.00E-06,31.666,-64.166,8.6,,-0.033,,Sulfate_marine,JO,Waldeck et al. (2019) EPSL; Johnston et al. (2014) Nature,Assume Johnston et al. (2014) publication year is equal to sample age
G1-20_2000m,9.00E-06,31.666,-64.166,8.7,,-0.007,,Sulfate_marine,JO,Waldeck et al. (2019) EPSL; Johnston et al. (2014) Nature,Assume Johnston et al. (2014) publication year is equal to sample age
G1-24_4000m,9.00E-06,31.666,-64.166,8.5,,-0.008,,Sulfate_marine,JO,Waldeck et al. (2019) EPSL; Johnston et al. (2014) Nature,Assume Johnston et al. (2014) publication year is equal to sample age
G2-2_100m,9.00E-06,31.666,-64.166,8.6,,-0.008,,Sulfate_marine,JO,Waldeck et al. (2019) EPSL; Johnston et al. (2014) Nature,Assume Johnston et al. (2014) publication year is equal to sample age
G2-4_200m,9.00E-06,31.666,-64.166,8.5,,-0.042,,Sulfate_marine,JO,Waldeck et al. (2019) EPSL; Johnston et al. (2014) Nature,Assume Johnston et al. (2014) publication year is equal to sample age
G2-6_300m,9.00E-06,31.666,-64.166,8.7,,0.012,,Sulfate_marine,JO,Waldeck et al. (2019) EPSL; Johnston et al. (2014) Nature,Assume Johnston et al. (2014) publication year is equal to sample age
G2-7_350m,9.00E-06,31.666,-64.166,8.5,,-0.031,,Sulfate_marine,JO,Waldeck et al. (2019) EPSL; Johnston et al. (2014) Nature,Assume Johnston et al. (2014) publication year is equal to sample age
G2-8_400m,9.00E-06,31.666,-64.166,8.5,,-0.038,,Sulfate_marine,JO,Waldeck et al. (2019) EPSL; Johnston et al. (2014) Nature,Assume Johnston et al. (2014) publication year is equal to sample age
G2-12_600m,9.00E-06,31.666,-64.166,8.7,,-0.046,,Sulfate_marine,JO,Waldeck et al. (2019) EPSL; Johnston et al. (2014) Nature,Assume Johnston et al. (2014) publication year is equal to sample age
G2-13_700m,9.00E-06,31.666,-64.166,8.5,,-0.008,,Sulfate_marine,JO,Waldeck et al. (2019) EPSL; Johnston et al. (2014) Nature,Assume Johnston et al. (2014) publication year is equal to sample age
G2-14_800m,9.00E-06,31.666,-64.166,8.7,,0,,Sulfate_marine,JO,Waldeck et al. (2019) EPSL; Johnston et al. (2014) Nature,Assume Johnston et al. (2014) publication year is equal to sample age
G2-17_1250m,9.00E-06,31.666,-64.166,8.6,,-0.026,,Sulfate_marine,JO,Waldeck et al. (2019) EPSL; Johnston et al. (2014) Nature,Assume Johnston et al. (2014) publication year is equal to sample age
P1-01_8m,9.00E-06,-20,-80,8.4,,-0.02,,Sulfate_marine,JO,Waldeck et al. (2019) EPSL; Johnston et al. (2014) Nature,Assume Johnston et al. (2014) publication year is equal to sample age
P1-05_82m,9.00E-06,-19,-80,8.4,,-0.012,,Sulfate_marine,JO,Waldeck et al. (2019) EPSL; Johnston et al. (2014) Nature,Assume Johnston et al. (2014) publication year is equal to sample age
